GROUP_PATH;GROUP1;GROUP2;GROUP3;ACTION;N_PRODUCTS_THIS_IMPORT;N_PRODUCTS_TOTAL_NOW
Articole din hartie > Registre si blanchete pentru contabilitate > Blanchete pentru contabilitate;Articole din hartie;Registre si blanchete pentru contabilitate;Blanchete pentru contabilitate;EXISTING;20;44
Articole din hartie > Registre si blanchete pentru contabilitate > Registre pentru contabilitate;Articole din hartie;Registre si blanchete pentru contabilitate;Registre pentru contabilitate;EXISTING;24;44
Articole din hartie > Role pentru aparate de casa;Articole din hartie;Role pentru aparate de casa;;EXISTING;13;13
Articole din hartie > Role pentru fax;Articole din hartie;Role pentru fax;;EXISTING;1;1
Articole pentru menaj > Bahile;Articole pentru menaj;Bahile;;EXISTING;1;1
Articole pentru menaj > Betisoare cosmetice;Articole pentru menaj;Betisoare cosmetice;;EXISTING;3;3
Articole pentru menaj > Bureti pentru vesela;Articole pentru menaj;Bureti pentru vesela;;EXISTING;14;14
Articole pentru menaj > Detergenti pentru rufe;Articole pentru menaj;Detergenti pentru rufe;;EXISTING;9;9
Articole pentru menaj > Dispensere, sapuniere;Articole pentru menaj;Dispensere, sapuniere;;EXISTING;15;15
Articole pentru menaj > Hirtie igienica;Articole pentru menaj;Hirtie igienica;;EXISTING;14;15
Articole pentru menaj > Ingrijire personala;Articole pentru menaj;Ingrijire personala;;EXISTING;1;1
Articole pentru menaj > Lavete;Articole pentru menaj;Lavete;;EXISTING;16;16
Articole pentru menaj > Manusi;Articole pentru menaj;Manusi;;EXISTING;23;23
Articole pentru menaj > Masti de protectie;Articole pentru menaj;Masti de protectie;;EXISTING;1;1
Articole pentru menaj > Maturi, perii si faras;Articole pentru menaj;Maturi, perii si faras;;EXISTING;19;19
Articole pentru menaj > Mopuri si caldari, faras;Articole pentru menaj;Mopuri si caldari, faras;;EXISTING;33;33
Articole pentru menaj > Odorizante;Articole pentru menaj;Odorizante;;EXISTING;23;23
Articole pentru menaj > Produse dezinfectante si antiseptice;Articole pentru menaj;Produse dezinfectante si antiseptice;;EXISTING;5;5
Articole pentru menaj > Produse ingrijire incaltaminte;Articole pentru menaj;Produse ingrijire incaltaminte;;EXISTING;8;8
Articole pentru menaj > Saci menajeri;Articole pentru menaj;Saci menajeri;;EXISTING;14;14
Articole pentru menaj > Sapun lichid si de toaleta;Articole pentru menaj;Sapun lichid si de toaleta;;EXISTING;37;37
Articole pentru menaj > Servetele si prosoape;Articole pentru menaj;Servetele si prosoape;;EXISTING;30;32
Articole pentru menaj > Servetele umede;Articole pentru menaj;Servetele umede;;EXISTING;22;22
Articole pentru menaj > Solutii pentru automobil;Articole pentru menaj;Solutii pentru automobil;;EXISTING;2;2
Articole pentru menaj > Solutii pentru baie si WC;Articole pentru menaj;Solutii pentru baie si WC;;EXISTING;22;24
Articole pentru menaj > Solutii pentru canalizare;Articole pentru menaj;Solutii pentru canalizare;;EXISTING;1;1
Articole pentru menaj > Solutii pentru geamuri;Articole pentru menaj;Solutii pentru geamuri;;EXISTING;3;3
Articole pentru menaj > Solutii pentru podea;Articole pentru menaj;Solutii pentru podea;;EXISTING;8;8
Articole pentru menaj > Solutii pentru vesela;Articole pentru menaj;Solutii pentru vesela;;EXISTING;13;13
Articole pentru menaj > Solutii universale;Articole pentru menaj;Solutii universale;;EXISTING;35;35
Casa, gradina, recreere > Albume foto;Casa, gradina, recreere;Albume foto;;EXISTING;14;14
Casa, gradina, recreere > Camping si recreere;Casa, gradina, recreere;Camping si recreere;;EXISTING;4;4
Casa, gradina, recreere > Containere din plastic;Casa, gradina, recreere;Containere din plastic;;EXISTING;22;25
Casa, gradina, recreere > Folii de aluminiu si pelicule;Casa, gradina, recreere;Folii de aluminiu si pelicule;;EXISTING;14;16
Casa, gradina, recreere > Ingrasaminte si substraturi;Casa, gradina, recreere;Ingrasaminte si substraturi;;EXISTING;4;6
Casa, gradina, recreere > Produse pentru locuinta;Casa, gradina, recreere;Produse pentru locuinta;;EXISTING;3;4
Casa, gradina, recreere > Umbrele;Casa, gradina, recreere;Umbrele;;EXISTING;10;21
Casa, gradina, recreere > Urne pentru gunoi;Casa, gradina, recreere;Urne pentru gunoi;;EXISTING;1;2
Ceai, cafea, vesela, pungi > Cafea > Cafea Barista;Ceai, cafea, vesela, pungi;Cafea;Cafea Barista;EXISTING;3;45
Ceai, cafea, vesela, pungi > Cafea > Cafea Carte Noire;Ceai, cafea, vesela, pungi;Cafea;Cafea Carte Noire;EXISTING;2;45
Ceai, cafea, vesela, pungi > Cafea > Cafea Fresco;Ceai, cafea, vesela, pungi;Cafea;Cafea Fresco;EXISTING;9;45
Ceai, cafea, vesela, pungi > Cafea > Cafea Jacobs;Ceai, cafea, vesela, pungi;Cafea;Cafea Jacobs;EXISTING;17;45
Ceai, cafea, vesela, pungi > Cafea > Cafea Petrovskaya Sloboda;Ceai, cafea, vesela, pungi;Cafea;Cafea Petrovskaya Sloboda;EXISTING;7;45
Ceai, cafea, vesela, pungi > Ceai > Ceai assorti;Ceai, cafea, vesela, pungi;Ceai;Ceai assorti;EXISTING;5;73
Ceai, cafea, vesela, pungi > Ceai > Ceai Curtis;Ceai, cafea, vesela, pungi;Ceai;Ceai Curtis;EXISTING;12;73
Ceai, cafea, vesela, pungi > Ceai > Ceai Dalai;Ceai, cafea, vesela, pungi;Ceai;Ceai Dalai;EXISTING;9;73
Ceai, cafea, vesela, pungi > Ceai > Ceai Greenfield;Ceai, cafea, vesela, pungi;Ceai;Ceai Greenfield;EXISTING;1;73
Ceai, cafea, vesela, pungi > Ceai > Ceai PICKWICK;Ceai, cafea, vesela, pungi;Ceai;Ceai PICKWICK;EXISTING;4;73
Ceai, cafea, vesela, pungi > Ceai > Ceai Richard;Ceai, cafea, vesela, pungi;Ceai;Ceai Richard;EXISTING;10;73
Ceai, cafea, vesela, pungi > Ceai > Ceai Sonnet;Ceai, cafea, vesela, pungi;Ceai;Ceai Sonnet;EXISTING;8;73
Ceai, cafea, vesela, pungi > Ceai > Ceai Stoletov;Ceai, cafea, vesela, pungi;Ceai;Ceai Stoletov;EXISTING;3;73
Ceai, cafea, vesela, pungi > Ceai > Ceai Tien Shan;Ceai, cafea, vesela, pungi;Ceai;Ceai Tien Shan;EXISTING;9;73
Ceai, cafea, vesela, pungi > Ceai;Ceai, cafea, vesela, pungi;Ceai;;EXISTING;2;73
Ceai, cafea, vesela, pungi > Lunchbox si vesela;Ceai, cafea, vesela, pungi;Lunchbox si vesela;;EXISTING;26;26
Ceai, cafea, vesela, pungi > Pungi din hartie;Ceai, cafea, vesela, pungi;Pungi din hartie;;EXISTING;18;18
Ceai, cafea, vesela, pungi > Pungi pentru cadouri;Ceai, cafea, vesela, pungi;Pungi pentru cadouri;;EXISTING;61;67
Ceai, cafea, vesela, pungi > Saculete Zip Lock;Ceai, cafea, vesela, pungi;Saculete Zip Lock;;EXISTING;6;6
Ceai, cafea, vesela, pungi > Sticle frigorifice si din plastic;Ceai, cafea, vesela, pungi;Sticle frigorifice si din plastic;;EXISTING;27;27
Ceai, cafea, vesela, pungi > Vesela de unica folosinta;Ceai, cafea, vesela, pungi;Vesela de unica folosinta;;EXISTING;34;34
Ceai, cafea, vesela, pungi > Zahar;Ceai, cafea, vesela, pungi;Zahar;;EXISTING;1;1
Mape si produse arhivare > Accesorii pentru copertare si laminare > Baghete indosariere;Mape si produse arhivare;Accesorii pentru copertare si laminare;Baghete indosariere;EXISTING;10;46
Mape si produse arhivare > Accesorii pentru copertare si laminare > Coperti pentru indosariere;Mape si produse arhivare;Accesorii pentru copertare si laminare;Coperti pentru indosariere;EXISTING;13;46
Mape si produse arhivare > Accesorii pentru copertare si laminare > Folii pentru laminare;Mape si produse arhivare;Accesorii pentru copertare si laminare;Folii pentru laminare;EXISTING;10;46
Mape si produse arhivare > Accesorii pentru copertare si laminare > Inele pentru indosariere;Mape si produse arhivare;Accesorii pentru copertare si laminare;Inele pentru indosariere;EXISTING;10;46
Mape si produse arhivare > Bibliorafturi;Mape si produse arhivare;Bibliorafturi;;EXISTING;114;114
Mape si produse arhivare > Boxuri si accesorii pentru arhivare;Mape si produse arhivare;Boxuri si accesorii pentru arhivare;;EXISTING;31;32
Mape si produse arhivare > Clipboard si mape clipboard;Mape si produse arhivare;Clipboard si mape clipboard;;EXISTING;32;32
Mape si produse arhivare > Dosare din plastic cu sina;Mape si produse arhivare;Dosare din plastic cu sina;;EXISTING;56;58
Mape si produse arhivare > Folii de protectie;Mape si produse arhivare;Folii de protectie;;EXISTING;11;12
Mape si produse arhivare > Genti Laptop;Mape si produse arhivare;Genti Laptop;;EXISTING;3;3
Mape si produse arhivare > Genti si serviete;Mape si produse arhivare;Genti si serviete;;EXISTING;18;18
Mape si produse arhivare > Genti Voiaj;Mape si produse arhivare;Genti Voiaj;;EXISTING;3;3
Mape si produse arhivare > Indexuri separatoare;Mape si produse arhivare;Indexuri separatoare;;EXISTING;18;18
Mape si produse arhivare > Mape -box din plastic;Mape si produse arhivare;Mape -box din plastic;;EXISTING;6;8
Mape si produse arhivare > Mape cu elastic;Mape si produse arhivare;Mape cu elastic;;EXISTING;30;31
Mape si produse arhivare > Mape cu fermoar;Mape si produse arhivare;Mape cu fermoar;;EXISTING;57;60
Mape si produse arhivare > Mape cu fixator;Mape si produse arhivare;Mape cu fixator;;EXISTING;10;10
Mape si produse arhivare > Mape cu folii;Mape si produse arhivare;Mape cu folii;;EXISTING;30;30
Mape si produse arhivare > Mape cu inele din carton;Mape si produse arhivare;Mape cu inele din carton;;EXISTING;13;13
Mape si produse arhivare > Mape din plastic cu inele;Mape si produse arhivare;Mape din plastic cu inele;;EXISTING;17;17
Mape si produse arhivare > Mape pentru semnat;Mape si produse arhivare;Mape pentru semnat;;EXISTING;5;5
Mape si produse arhivare > Mape plic;Mape si produse arhivare;Mape plic;;EXISTING;61;65
Mape si produse arhivare > Mape si dosare din carton;Mape si produse arhivare;Mape si dosare din carton;;EXISTING;18;18
Mape si produse arhivare > Mape-unghi;Mape si produse arhivare;Mape-unghi;;EXISTING;8;8
Mape si produse arhivare > Сoperte pentru acte;Mape si produse arhivare;Сoperte pentru acte;;EXISTING;6;6
Rechizite de birou > Accesorii pentru birou > Ace;Rechizite de birou;Accesorii pentru birou;Ace;EXISTING;2;268
Rechizite de birou > Accesorii pentru birou > Agrafe;Rechizite de birou;Accesorii pentru birou;Agrafe;EXISTING;8;268
Rechizite de birou > Accesorii pentru birou > Ascutitori;Rechizite de birou;Accesorii pentru birou;Ascutitori;EXISTING;18;268
Rechizite de birou > Accesorii pentru birou > Bindere;Rechizite de birou;Accesorii pentru birou;Bindere;EXISTING;16;268
Rechizite de birou > Accesorii pentru birou > Buretiere;Rechizite de birou;Accesorii pentru birou;Buretiere;EXISTING;4;268
Rechizite de birou > Accesorii pentru birou > Capse;Rechizite de birou;Accesorii pentru birou;Capse;EXISTING;21;268
Rechizite de birou > Accesorii pentru birou > Pioneze;Rechizite de birou;Accesorii pentru birou;Pioneze;EXISTING;8;268
Rechizite de birou > Accesorii pentru birou > Radiere;Rechizite de birou;Accesorii pentru birou;Radiere;EXISTING;33;268
Rechizite de birou > Accesorii pentru birou > Rigle;Rechizite de birou;Accesorii pentru birou;Rigle;EXISTING;47;268
Rechizite de birou > Accesorii pentru birou;Rechizite de birou;Accesorii pentru birou;;EXISTING;21;268
