GROUP_PATH;GROUP1;GROUP2;GROUP3;ACTION;N_PRODUCTS_THIS_IMPORT;N_PRODUCTS_TOTAL_NOW
Rechizite scoala si gradinita > Penare;Rechizite scoala si gradinita;Penare;;EXISTING;57;57
Rechizite scoala si gradinita > Pensule si seturi de pensule;Rechizite scoala si gradinita;Pensule si seturi de pensule;;EXISTING;108;108
Rechizite scoala si gradinita > Planse educationale;Rechizite scoala si gradinita;Planse educationale;;EXISTING;8;8
Rechizite scoala si gradinita > Plastilina si Play Dough;Rechizite scoala si gradinita;Plastilina si Play Dough;;EXISTING;61;62
Rechizite scoala si gradinita > Semne de carte;Rechizite scoala si gradinita;Semne de carte;;EXISTING;12;12
Rechizite scoala si gradinita > Slime;Rechizite scoala si gradinita;Slime;;EXISTING;1;1
Rechizite scoala si gradinita > Socotitioare si table magnetice copii;Rechizite scoala si gradinita;Socotitioare si table magnetice copii;;EXISTING;1;1
Rechizite scoala si gradinita > Sorturi pentru pictura;Rechizite scoala si gradinita;Sorturi pentru pictura;;EXISTING;2;2
Rechizite scoala si gradinita > Stampile cu calificative;Rechizite scoala si gradinita;Stampile cu calificative;;EXISTING;7;7
Rechizite scoala si gradinita > Suporturi si pahare pentru rechizite;Rechizite scoala si gradinita;Suporturi si pahare pentru rechizite;;EXISTING;6;6
Rechizite scoala si gradinita > Suporturi si semne de carte;Rechizite scoala si gradinita;Suporturi si semne de carte;;EXISTING;3;3
Rechizite scoala si gradinita > Vocabular;Rechizite scoala si gradinita;Vocabular;;EXISTING;2;2
Tehnica de birou > Aparate de indosariat;Tehnica de birou;Aparate de indosariat;;EXISTING;2;2
Tehnica de birou > Baterii si acumulatori;Tehnica de birou;Baterii si acumulatori;;EXISTING;25;26
Tehnica de birou > Boxe;Tehnica de birou;Boxe;;EXISTING;1;1
Tehnica de birou > Calculatoare de masa;Tehnica de birou;Calculatoare de masa;;EXISTING;11;11
Tehnica de birou > Cartuse;Tehnica de birou;Cartuse;;EXISTING;1;1
Tehnica de birou > Ceasuri de perete;Tehnica de birou;Ceasuri de perete;;EXISTING;16;16
Tehnica de birou > Distrugatoare de documente;Tehnica de birou;Distrugatoare de documente;;EXISTING;3;5
Tehnica de birou > Ghilotine si trimmere;Tehnica de birou;Ghilotine si trimmere;;EXISTING;3;3
Tehnica de birou > Laminatoare;Tehnica de birou;Laminatoare;;EXISTING;9;10
Tehnica de birou > Lampi de masa;Tehnica de birou;Lampi de masa;;EXISTING;4;4
Tehnica de birou > Memorii USB;Tehnica de birou;Memorii USB;;EXISTING;4;4
Tehnica de birou > Mouse si covorase;Tehnica de birou;Mouse si covorase;;EXISTING;34;34
Tehnica de birou > Prelungitoare si cabluri;Tehnica de birou;Prelungitoare si cabluri;;EXISTING;7;7
Tehnica de birou > Tastiere si camere;Tehnica de birou;Tastiere si camere;;EXISTING;3;3
